stature,weightkg
156.0,65.0
166.0,53.0
171.0,66.0
166.0,78.0
157.0,88.0
170.0,83.0
164.0,73.0
167.0,76.0
152.0,54.0
159.0,68.0
170.0,99.0
166.0,74.0
165.0,78.0
166.0,71.0
159.0,70.0
167.0,67.0
164.0,62.0
167.0,59.0
167.0,74.0
161.0,60.0
151.0,80.0
167.0,74.0
162.0,49.0
166.0,70.0
164.0,71.0
157.0,70.0
144.0,48.0
162.0,69.0
168.0,73.0
161.0,61.0
159.0,65.0
165.0,70.0
172.0,72.0
167.0,84.0
165.0,94.0
163.0,62.0
168.0,57.0
155.0,52.0
161.0,73.0
158.0,79.0
164.0,89.0
168.0,68.0
165.0,75.0
160.0,73.0
160.0,74.0
166.0,80.0
161.0,71.0
162.0,71.0
172.0,65.0
158.0,47.0
172.0,69.0
172.0,119.0
170.0,88.0
162.0,75.0
153.0,67.0
154.0,60.0
165.0,57.0
160.0,68.0
163.0,71.0
161.0,60.0
175.0,69.0
167.0,85.0
163.0,61.0
163.0,79.0
168.0,67.0
166.0,69.0
159.0,66.0
159.0,57.0
166.0,81.0
161.0,61.0
155.0,64.0
157.0,55.0
158.0,61.0
169.0,66.0
155.0,73.0
175.0,73.0
156.0,69.0
165.0,75.0
158.0,74.0
165.0,68.0
171.0,86.0
182.0,88.0
164.0,78.0
168.0,62.0
169.0,78.0
153.0,60.0
158.0,67.0
160.0,68.0
164.0,67.0
154.0,63.0
160.0,77.0
164.0,55.0
162.0,72.0
166.0,59.0
174.0,99.0
149.0,58.0
149.0,64.0
164.0,75.0
160.0,68.0
156.0,47.0
162.0,66.0
167.0,68.0
161.0,57.0
158.0,64.0
173.0,59.0
150.0,45.0
151.0,57.0
157.0,72.0
162.0,67.0
158.0,71.0
173.0,79.0
157.0,53.0
162.0,63.0
160.0,62.0
167.0,78.0
164.0,59.0
153.0,75.0
157.0,68.0
163.0,66.0
162.0,61.0
173.0,74.0
152.0,52.0
173.0,76.0
162.0,66.0
150.0,50.0
156.0,63.0
164.0,66.0
167.0,61.0
152.0,58.0
162.0,60.0
158.0,57.0
167.0,79.0
155.0,74.0
163.0,61.0
153.0,67.0
160.0,50.0
161.0,63.0
164.0,71.0
168.0,72.0
165.0,67.0
162.0,83.0
163.0,62.0
157.0,61.0
160.0,57.0
166.0,50.0
158.0,61.0
170.0,86.0
160.0,52.0
154.0,67.0
156.0,54.0
167.0,57.0
159.0,64.0
162.0,64.0
154.0,59.0
155.0,56.0
161.0,58.0
169.0,81.0
169.0,64.0
170.0,65.0
162.0,57.0
166.0,80.0
155.0,67.0
159.0,67.0
163.0,55.0
164.0,70.0
166.0,53.0
166.0,77.0
156.0,60.0
161.0,71.0
161.0,61.0
168.0,76.0
160.0,73.0
154.0,56.0
163.0,64.0
165.0,72.0
159.0,70.0
174.0,95.0
166.0,74.0
152.0,70.0
158.0,65.0
153.0,49.0
157.0,55.0
177.0,92.0
171.0,71.0
165.0,67.0
151.0,64.0
165.0,66.0
161.0,66.0
168.0,76.0
160.0,71.0
153.0,64.0
160.0,59.0
162.0,52.0
161.0,69.0
160.0,69.0
157.0,59.0
163.0,54.0
169.0,70.0
168.0,68.0
165.0,86.0
167.0,67.0
162.0,55.0
162.0,56.0
163.0,58.0
152.0,62.0
157.0,46.0
161.0,59.0
169.0,64.0
163.0,81.0
171.0,71.0
158.0,54.0
152.0,48.0
161.0,65.0
163.0,75.0
164.0,63.0
171.0,75.0
171.0,75.0
165.0,46.0
159.0,53.0
175.0,75.0
158.0,67.0
162.0,68.0
158.0,67.0
167.0,61.0
160.0,71.0
168.0,64.0
177.0,74.0
168.0,79.0
164.0,58.0
155.0,72.0
166.0,70.0
160.0,65.0
165.0,72.0
162.0,72.0
166.0,56.0
156.0,58.0
163.0,67.0
152.0,57.0
165.0,55.0
151.0,46.0
162.0,56.0
167.0,82.0
149.0,66.0
153.0,62.0
156.0,65.0
159.0,53.0
157.0,75.0
159.0,70.0
161.0,67.0
156.0,64.0
152.0,47.0
157.0,50.0
155.0,59.0
159.0,64.0
161.0,72.0
168.0,63.0
158.0,63.0
161.0,66.0
167.0,78.0
165.0,53.0
159.0,70.0
159.0,62.0
161.0,68.0
158.0,73.0
159.0,68.0
169.0,84.0
161.0,64.0
166.0,56.0
160.0,73.0
160.0,73.0
169.0,60.0
172.0,72.0
174.0,90.0
169.0,76.0
164.0,60.0
157.0,57.0
158.0,60.0
160.0,66.0
160.0,82.0
171.0,76.0
162.0,67.0
152.0,58.0
164.0,61.0
161.0,52.0
168.0,84.0
164.0,59.0
167.0,66.0
165.0,67.0
163.0,65.0
164.0,59.0
161.0,73.0
153.0,55.0
160.0,56.0
168.0,56.0
160.0,87.0
144.0,73.0
162.0,61.0
159.0,50.0
168.0,82.0
154.0,56.0
162.0,75.0
162.0,59.0
159.0,69.0
160.0,82.0
161.0,58.0
174.0,92.0
160.0,84.0
157.0,84.0
161.0,66.0
175.0,89.0
170.0,84.0
178.0,84.0
158.0,59.0
168.0,68.0
166.0,69.0
157.0,74.0
165.0,69.0
158.0,69.0
157.0,56.0
160.0,69.0
158.0,46.0
153.0,70.0
159.0,83.0
158.0,78.0
160.0,59.0
166.0,58.0
160.0,74.0
151.0,42.0
170.0,85.0
170.0,66.0
150.0,57.0
158.0,56.0
173.0,71.0
166.0,76.0
164.0,55.0
161.0,56.0
164.0,64.0
158.0,76.0
166.0,70.0
156.0,56.0
172.0,81.0
156.0,72.0
158.0,68.0
178.0,92.0
160.0,66.0
159.0,56.0
159.0,56.0
157.0,65.0
153.0,67.0
165.0,77.0
161.0,63.0
164.0,69.0
154.0,68.0
161.0,57.0
152.0,74.0
165.0,58.0
160.0,75.0
170.0,74.0
167.0,81.0
172.0,76.0
167.0,82.0
179.0,79.0
164.0,73.0
158.0,62.0
158.0,65.0
164.0,70.0
156.0,49.0
165.0,64.0
165.0,65.0
162.0,65.0
163.0,85.0
171.0,63.0
160.0,64.0
160.0,60.0
157.0,70.0
160.0,65.0
159.0,77.0
160.0,52.0
164.0,68.0
171.0,101.0
163.0,48.0
165.0,82.0
162.0,72.0
153.0,61.0
169.0,69.0
165.0,75.0
161.0,78.0
176.0,81.0
158.0,48.0
159.0,59.0
178.0,74.0
170.0,79.0
165.0,64.0
161.0,72.0
166.0,60.0
162.0,63.0
163.0,76.0
174.0,69.0
168.0,81.0
158.0,50.0
161.0,66.0
155.0,40.0
158.0,73.0
168.0,77.0
159.0,63.0
169.0,76.0
164.0,69.0
157.0,57.0
160.0,61.0
166.0,66.0
163.0,85.0
169.0,60.0
166.0,65.0
171.0,71.0
159.0,61.0
165.0,100.0
158.0,79.0
165.0,67.0
166.0,74.0
149.0,50.0
163.0,58.0
165.0,69.0
159.0,59.0
171.0,80.0
172.0,78.0
174.0,79.0
170.0,74.0
168.0,74.0
158.0,56.0
161.0,82.0
165.0,77.0
167.0,75.0
177.0,88.0
157.0,66.0
171.0,84.0
152.0,55.0
165.0,98.0
153.0,53.0
156.0,58.0
156.0,68.0
171.0,72.0
163.0,75.0
163.0,73.0
175.0,70.0
161.0,59.0
174.0,83.0
156.0,63.0
166.0,54.0
161.0,61.0
165.0,82.0
162.0,68.0
166.0,57.0
168.0,61.0
167.0,67.0
162.0,55.0
167.0,58.0
161.0,59.0
155.0,51.0
164.0,59.0
173.0,67.0
152.0,52.0
167.0,56.0
158.0,77.0
164.0,73.0
171.0,66.0
162.0,71.0
163.0,59.0
171.0,68.0
173.0,77.0
172.0,69.0
168.0,75.0
168.0,64.0
168.0,84.0
182.0,68.0
167.0,64.0
172.0,68.0
161.0,65.0
149.0,46.0
161.0,61.0
177.0,92.0
158.0,66.0
173.0,82.0
166.0,59.0
158.0,72.0
171.0,77.0
165.0,61.0
164.0,68.0
172.0,68.0
157.0,58.0
167.0,74.0
158.0,82.0
158.0,55.0
167.0,64.0
158.0,56.0
163.0,58.0
158.0,59.0
165.0,78.0
155.0,65.0
173.0,83.0
150.0,64.0
161.0,80.0
164.0,67.0
172.0,84.0
166.0,78.0
151.0,55.0
170.0,83.0
162.0,69.0
160.0,78.0
174.0,85.0
158.0,67.0
166.0,64.0
169.0,61.0
173.0,84.0
164.0,79.0
158.0,72.0
154.0,64.0
165.0,75.0
152.0,55.0
165.0,77.0
176.0,76.0
160.0,78.0
160.0,71.0
173.0,67.0
166.0,73.0
158.0,75.0
174.0,77.0
167.0,81.0
168.0,66.0
173.0,79.0
168.0,76.0
171.0,65.0
154.0,51.0
163.0,59.0
156.0,65.0
153.0,50.0
158.0,68.0
164.0,62.0
166.0,56.0
165.0,66.0
173.0,68.0
174.0,79.0
159.0,90.0
162.0,78.0
162.0,70.0
151.0,50.0
152.0,62.0
155.0,66.0
173.0,92.0
160.0,67.0
159.0,54.0
174.0,78.0
168.0,59.0
175.0,76.0
161.0,70.0
162.0,70.0
164.0,58.0
170.0,59.0
158.0,75.0
163.0,66.0
152.0,68.0
166.0,75.0
163.0,61.0
174.0,73.0
170.0,70.0
161.0,75.0
167.0,73.0
163.0,64.0
167.0,59.0
161.0,56.0
168.0,59.0
159.0,63.0
161.0,58.0
168.0,74.0
172.0,86.0
160.0,60.0
158.0,50.0
156.0,54.0
154.0,53.0
161.0,69.0
174.0,71.0
155.0,70.0
165.0,69.0
158.0,65.0
164.0,63.0
153.0,69.0
161.0,59.0
170.0,69.0
168.0,79.0
165.0,61.0
164.0,67.0
167.0,54.0
149.0,64.0
171.0,88.0
153.0,63.0
166.0,76.0
157.0,65.0
166.0,83.0
161.0,65.0
158.0,62.0
164.0,99.0
164.0,74.0
167.0,64.0
167.0,54.0
165.0,81.0
152.0,56.0
171.0,96.0
160.0,83.0
157.0,50.0
166.0,65.0
156.0,70.0
154.0,66.0
156.0,59.0
162.0,72.0
167.0,75.0
160.0,67.0
167.0,78.0
166.0,51.0
157.0,63.0
167.0,79.0
158.0,56.0
157.0,68.0
161.0,59.0
159.0,60.0
170.0,69.0
162.0,57.0
157.0,65.0
166.0,60.0
159.0,77.0
164.0,76.0
152.0,66.0
176.0,78.0
150.0,51.0
170.0,66.0
165.0,65.0
161.0,69.0
166.0,68.0
156.0,60.0
157.0,64.0
148.0,54.0
163.0,53.0
160.0,78.0
155.0,43.0
155.0,74.0
159.0,71.0
167.0,72.0
166.0,61.0
155.0,57.0
159.0,65.0
154.0,57.0
163.0,58.0
156.0,62.0
150.0,53.0
168.0,65.0
160.0,70.0
182.0,93.0
159.0,53.0
176.0,73.0
165.0,55.0
162.0,65.0
167.0,69.0
178.0,96.0
157.0,70.0
152.0,52.0
159.0,66.0
170.0,81.0
181.0,95.0
168.0,65.0
156.0,50.0
155.0,54.0
164.0,68.0
163.0,60.0
156.0,66.0
156.0,59.0
158.0,61.0
151.0,54.0
159.0,60.0
146.0,51.0
159.0,64.0
166.0,66.0
171.0,79.0
163.0,59.0
162.0,73.0
162.0,82.0
171.0,75.0
160.0,59.0
174.0,86.0
165.0,68.0
167.0,76.0
163.0,72.0
167.0,63.0
164.0,55.0
169.0,76.0
167.0,69.0
163.0,63.0
167.0,60.0
165.0,68.0
167.0,65.0
150.0,53.0
167.0,73.0
169.0,76.0
163.0,57.0
153.0,59.0
156.0,68.0
165.0,70.0
149.0,48.0
177.0,76.0
154.0,58.0
168.0,68.0
160.0,58.0
163.0,71.0
169.0,64.0
165.0,58.0
157.0,64.0
165.0,56.0
154.0,47.0
167.0,59.0
165.0,66.0
159.0,64.0
156.0,51.0
153.0,49.0
160.0,74.0
161.0,68.0
155.0,50.0
167.0,59.0
166.0,71.0
169.0,84.0
165.0,54.0
149.0,48.0
164.0,61.0
165.0,72.0
156.0,56.0
165.0,68.0
160.0,54.0
159.0,61.0
162.0,67.0
172.0,74.0
160.0,58.0
161.0,60.0
164.0,60.0
162.0,62.0
159.0,60.0
148.0,47.0
169.0,78.0
168.0,72.0
159.0,51.0
152.0,50.0
155.0,62.0
170.0,78.0
158.0,57.0
161.0,67.0
164.0,53.0
158.0,63.0
169.0,75.0
155.0,51.0
161.0,60.0
172.0,70.0
162.0,78.0
168.0,61.0
158.0,63.0
154.0,54.0
168.0,61.0
151.0,57.0
163.0,67.0
152.0,60.0
165.0,90.0
165.0,68.0
144.0,68.0
161.0,77.0
173.0,64.0
173.0,108.0
176.0,87.0
166.0,78.0
160.0,84.0
161.0,66.0
160.0,74.0
158.0,82.0
163.0,69.0
170.0,69.0
159.0,52.0
172.0,78.0
165.0,66.0
159.0,55.0
163.0,84.0
173.0,83.0
169.0,73.0
159.0,76.0
160.0,63.0
164.0,70.0
157.0,62.0
164.0,60.0
161.0,70.0
157.0,68.0
160.0,63.0
162.0,56.0
172.0,72.0
150.0,61.0
165.0,61.0
161.0,54.0
166.0,68.0
167.0,64.0
163.0,63.0
158.0,63.0
168.0,68.0
166.0,68.0
175.0,75.0
168.0,85.0
163.0,58.0
160.0,70.0
159.0,66.0
169.0,75.0
160.0,63.0
168.0,67.0
157.0,60.0
160.0,61.0
155.0,58.0
165.0,71.0
161.0,60.0
163.0,64.0
143.0,47.0
167.0,75.0
170.0,73.0
167.0,68.0
160.0,62.0
159.0,74.0
162.0,59.0
159.0,64.0
156.0,56.0
168.0,68.0
174.0,69.0
167.0,63.0
166.0,72.0
157.0,54.0
172.0,65.0
170.0,70.0
162.0,58.0
167.0,73.0
163.0,47.0
163.0,58.0
171.0,84.0
170.0,73.0
159.0,60.0
164.0,65.0
176.0,83.0
154.0,59.0
153.0,69.0
159.0,60.0
160.0,65.0
156.0,55.0
158.0,65.0
157.0,70.0
161.0,68.0
158.0,60.0
167.0,73.0
170.0,56.0
162.0,56.0
167.0,68.0
159.0,66.0
162.0,53.0
168.0,64.0
168.0,77.0
162.0,56.0
167.0,67.0
165.0,60.0
158.0,54.0
159.0,66.0
156.0,74.0
167.0,62.0
143.0,58.0
171.0,81.0
158.0,51.0
164.0,71.0
167.0,60.0
155.0,59.0
152.0,63.0
161.0,71.0
164.0,57.0
173.0,71.0
160.0,54.0
140.0,42.0
162.0,58.0
174.0,82.0
168.0,74.0
160.0,76.0
165.0,85.0
159.0,67.0
178.0,76.0
169.0,69.0
165.0,75.0
158.0,66.0
152.0,48.0
168.0,83.0
167.0,75.0
164.0,78.0
164.0,59.0
159.0,76.0
173.0,67.0
152.0,51.0
162.0,66.0
164.0,66.0
155.0,61.0
163.0,72.0
161.0,70.0
146.0,42.0
174.0,72.0
161.0,76.0
163.0,71.0
170.0,79.0
166.0,70.0
158.0,72.0
160.0,60.0
162.0,80.0
157.0,62.0
151.0,76.0
157.0,57.0
164.0,63.0
165.0,74.0
153.0,65.0
168.0,63.0
155.0,52.0
163.0,76.0
169.0,93.0
155.0,66.0
162.0,62.0
166.0,94.0
159.0,64.0
154.0,69.0
163.0,64.0
154.0,52.0
162.0,49.0
156.0,74.0
175.0,85.0
162.0,77.0
157.0,64.0
159.0,72.0
154.0,69.0
173.0,73.0
167.0,72.0
167.0,81.0
160.0,57.0
163.0,66.0
168.0,80.0
171.0,85.0
163.0,66.0
166.0,70.0
170.0,57.0
162.0,52.0
171.0,80.0
162.0,83.0
161.0,75.0
160.0,61.0
166.0,67.0
164.0,70.0
167.0,65.0
162.0,71.0
172.0,102.0
160.0,75.0
156.0,65.0
172.0,64.0
163.0,68.0
173.0,86.0
168.0,94.0
172.0,63.0
178.0,106.0
164.0,63.0
156.0,68.0
164.0,63.0
155.0,71.0
164.0,87.0
163.0,75.0
158.0,85.0
162.0,82.0
163.0,55.0
164.0,82.0
160.0,66.0
171.0,63.0
172.0,79.0
157.0,58.0
161.0,76.0
152.0,67.0
160.0,54.0
161.0,69.0
160.0,61.0
170.0,85.0
157.0,58.0
159.0,74.0
160.0,60.0
159.0,69.0
163.0,67.0
166.0,88.0
156.0,65.0
163.0,82.0
159.0,55.0
